ID,N_VICTIMAS,FECHA,AÑO,MES,DIA,HORA,HORA_ENTERA,TIPO_DE_CALLE,CALLE,COMUNA,COORDINADA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2016-0001,1,2016/01/01,2016,1,1,4:00:00,4,AVENIDA,PIEDRA BUENA AV.,8,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,M,19
2016-0002,1,2016/01/02,2016,1,2,1:15:00,1,GRAL PAZ,"PAZ, GRAL. AV.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,CONDUCTOR,M,70
2016-0003,1,2016/01/03,2016,1,3,7:00:00,7,AVENIDA,ENTRE RIOS AV.,1,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,M,30
2016-0004,1,2016/01/10,2016,1,10,0:00:00,0,AVENIDA,LARRAZABAL AV.,8,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,MOTO-SD,MOTO,SD,CONDUCTOR,M,18
2016-0005,1,2016/01/21,2016,1,21,5:20:00,5,AVENIDA,SAN JUAN AV.,1,Point (106980.32827929 100752.16915795),-58.38718297,-34.62246630,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,M,29
2016-0008,1,2016/01/24,2016,1,24,18:30:00,18,AVENIDA,27 DE FEBRERO AV.,8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,M,30
2016-0009,1,2016/01/24,2016,1,24,19:10:00,19,CALLE,NOGOYA,11,Point (96545.87592078 102330.67262199),-58.50095869,-34.60825440,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,M,29
2016-0010,1,2016/01/29,2016,1,29,15:20:00,15,GRAL PAZ,"PAZ, GRAL. AV.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,M,18
2016-0012,1,2016/02/08,2016,2,8,1:20:00,1,AVENIDA,BELGRANO AV.,1,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,22
2016-0013,1,2016/02/10,2016,2,10,11:30:00,11,AVENIDA,ENTRE RIOS AV.,1,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,PEATON,M,16
2016-0015,1,2016/02/14,2016,2,14,5:14:00,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",15,Point (102357.43746828 103343.52002839),-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO,PEATON,F,16
2016-0016,1,2016/02/14,2016,2,14,22:00:00,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,4,Point (108661.59115206 98481.75445555),-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,F,19
2016-0017,1,2016/02/15,2016,2,15,16:54:00,16,AVENIDA,"ACOSTA, MARIANO",8,Point (101228.61094416 96623.72136186),-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,PEATON,M,59
2016-0019,1,2016/02/17,2016,2,17,9:30:00,9,CALLE,"DE LA TORRE, LISANDRO",9,Point (95727.37083199 97179.35560349),-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,F,65
2016-0020,1,2016/02/17,2016,2,17,16:00:00,16,CALLE,SUIPACHA,1,Point (107684.31807562 102519.17333314),-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,PEATON,M,59
2016-0021,1,2016/02/17,2016,2,17,23:35:00,23,AVENIDA,DIRECTORIO AV.,7,Point (101074.94198885 99848.19369046),-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,M,34
2016-0022,1,2016/02/21,2016,2,21,6:00:00,6,AVENIDA,9 DE JULIO AV.,1,Point (107507.39502374 102046.08333077),-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,M,41
2016-0025,1,2016/02/28,2016,2,28,4:50:00,4,GRAL PAZ,"PAZ, GRAL. AV.",8,Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,M,34
2016-0026,1,2016/02/28,2016,2,28,7:30:00,7,CALLE,HOLMBERG,12,Point (97350.75566590 109083.19420265),-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,M,30
2016-0027,1,2016/02/28,2016,2,28,9:35:00,9,AVENIDA,CURAPALIGUE AV.,7,Point (101679.82794245 98973.02976850),-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,M,34
2016-0028,1,2016/03/02,2016,3,2,10:00:00,10,AVENIDA,VIAMONTE,1,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,PEATON,M,50
2016-0029,1,2016/03/04,2016,3,4,17:30:00,17,AVENIDA,CABILDO AV.,12,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,38
2016-0031,1,2016/03/08,2016,3,8,12:30:00,12,GRAL PAZ,"PAZ, GRAL. AV.",8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,M,21
2016-0034,1,2016/03/12,2016,3,12,12:30:00,12,AVENIDA,"ALCORTA, AMANCIO AV.",4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,52
2016-0035,1,2016/03/13,2016,3,13,6:00:00,6,AVENIDA,CORRIENTES AV.,3,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,M,34
2016-0036,1,2016/03/14,2016,3,14,0:15:00,0,CALLE,HERRERA,4,Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,M,36
